# SSG Issues Database
# id	file_path	category	status	severity	description	last_updated	source
ISS-001	ssg-md/src/main/scala/ssg/md/util/misc/ArrayUtils.scala	missing-file	resolved	high	 — Ported ArrayUtils from flexmark-java: contained, append, firstOf, indexOf, lastOf, lastIndexOf, toArray — all methods faithfully translated with Scala idioms (ClassTag for array creation, Nullable for nullable returns)	2026-04-10	manual
ISS-002	ssg-md/src/test/scala/ssg/md/core/test/ComboCoreSpecTest.scala	missing-coverage	resolved	high	CommonMark spec.txt and spec.0.26..0.30.txt are present as test resources but not loaded by any runner — ssg-md has zero CommonMark conformance tests. Only flexmark's internal ast_spec.md is run. Headline gap from docs/architecture/flexmark-port.md Gap Analysis (2026-04-07).	2026-04-11	manual
ISS-003	ssg-md/src/main/scala/ssg/md/ext/attributes/internal/AttributesNodeFormatter.scala	incomplete-port	resolved	high	 — Fully ported from flexmark AttributesNodeFormatter.java — all 675 lines including PhasedNodeFormatter, ExplicitAttributeIdProvider, translation span mapping, attribute uniquification, format options (sort/spacing/quotes/id/class format), consecutive attribute combination	2026-04-10	manual
ISS-004	ssg-md/src/main/scala/ssg/md/ext/toc/internal/SimTocNodeFormatter.scala	incomplete-port	resolved	high	 — Fully ported from flexmark SimTocNodeFormatter.java — handles REMOVE, UPDATE, AS_IS modes with proper TocOptions creation via fromOptions, SimTocGenerateOnFormat enum, and renderTocHeaders delegation	2026-04-10	manual
ISS-005	ssg-md/src/main/scala/ssg/md/util/sequence/Escaping.scala	incomplete-port	resolved	medium	 — normalizeEOL/normalizeEndWithEOL ported from Escaping.java — CR/CRLF→LF conversion with ReplacedTextMapper tracking. Removed stale 'not yet ported' comments since Html5Entities already existed.	2026-04-10	manual
ISS-006	ssg-md/src/main/scala/ssg/md/formatter/MarkdownWriter.scala	incomplete-port	resolved	medium	Nested block-quote prefix handling simplified (lines 79-84). Round-trip formatting of nested > quotes loses structure beyond one level.	2026-04-11	manual
ISS-007	ssg-liquid/src/main/scala/ssg/liquid/Template.scala	bug	resolved	high	withMaxRenderTimeMillis is a no-op: renderToObject never wraps in Future/ExecutorService nor checks the limit. Original Template.java enforces it via Future.get(maxRenderTimeMillis). See docs/architecture/liquid-port-gap-analysis.md §4.3.	2026-04-11	manual
ISS-008	ssg-liquid/src/main/scala/ssg/liquid/Template.scala	bug	resolved	high	include_relative broken from disk: Template never tracks sourceLocation nor populates REGISTRY_ROOT_FOLDER. Original Template.java setRootFolderRegistry does this. IncludeRelative cannot resolve. See gap-analysis §4.3.	2026-04-10	manual
ISS-009	ssg-liquid/src/main/scala/ssg/liquid/Template.scala	missing-feature	resolved	high	Missing render API surface: render(jsonString), render(Inspectable), render(key,value,kvs*), errors() accessor, withContextHolder, toStringTree, getParseTree, render(Map,ExecutorService,bool). Port has only render()/render(JMap)/renderToObject(JMap)/renderToObjectUnguarded. See gap-analysis §4.3.	2026-04-10	manual
ISS-010	ssg-liquid/src/main/scala/ssg/liquid/Template.scala	bug	resolved	medium	 — EAGER/LAZY now differ: EAGER makes defensive copy (placeholder for LiquidSupport.objectToMap, ISS-015), LAZY passes variables through as-is matching Java's direct-return behavior	2026-04-10	manual
ISS-011	ssg-liquid/src/main/scala/ssg/liquid/Template.scala	missing-feature	resolved	medium	 — Template now tracks templateSize (set from input.length during parse). renderToObject checks against limitMaxTemplateSizeBytes and throws RuntimeException if exceeded, matching Java original.	2026-04-10	manual
ISS-012	ssg-liquid/src/main/scala/ssg/liquid/TemplateParser.scala	bug	resolved	high	 — Added missing withLiquidStyleWhere(Boolean) setter to TemplateParser.Builder — follows same pattern as withLiquidStyleInclude	2026-04-10	manual
